model_name,seed,training_status,quantisation_status,training dataset,num_training_samples,num_training_domains,randomised_training_samples,generation_strategy,prompt_type,explanation_type,response_type,response_format,evaluation_dataset,label_accuracy,misclassification_rate,combined_accuracy,malformed_label,malformed_domain,total_predictions,correct_predictions,correct_label_and_domain,Constitutional_Law_accuracy,Contracts_accuracy,Criminal_Law_accuracy,Evidence_accuracy,Real_Property_accuracy,Torts_accuracy,Civil_Procedure_accuracy,Constitutional_Law_confidence,Contracts_confidence,Criminal_Law_confidence,Evidence_confidence,Real_Property_confidence,Torts_confidence,Civil_Procedure_confidence,correct_domain_wrong_label,correct_label_wrong_domain,both_wrong
llama2,seed_21,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,zero_shot,unstructured,fact_first,number_list,test_set_1,0.0,1.0,0.0,99,99,99,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,99
llama2,seed_21,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,zero_shot,unstructured,answer_first,number_list,test_set_1,0.0,1.0,0.0,99,99,99,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,99
llama2,seed_21,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,zero_shot,unstructured,fact_first,json,test_set_1,0.25252525252525254,0.7474747474747474,0.23232323232323232,18,10,99,25,23,0.2857142857142857,0.21428571428571427,0.3076923076923077,0.26666666666666666,0.0,0.15384615384615385,0,0.15151515151515152,0.18181818181818182,0.1111111111111111,0.13131313131313133,0.10101010101010101,0.15151515151515152,0.0,66,2,8
llama2,seed_21,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,zero_shot,structured,fact_first,number_list,test_set_1,0.0,1.0,0.0,99,99,99,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,99
llama2,seed_21,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,zero_shot,structured,answer_first,number_list,test_set_1,0.0,1.0,0.0,99,99,99,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,99
llama2,seed_21,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,zero_shot,unstructured,answer_first,json,test_set_1,0.35353535353535354,0.6464646464646464,0.3434343434343434,10,11,99,35,34,0.14285714285714285,0.5,0.38461538461538464,0.13333333333333333,0.42857142857142855,0.38461538461538464,0,0.12121212121212122,0.1717171717171717,0.12121212121212122,0.13131313131313133,0.1111111111111111,0.16161616161616163,0.0,54,1,10
llama2,seed_21,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,zero_shot,structured,answer_first,json,test_set_1,0.36363636363636365,0.6363636363636364,0.3434343434343434,1,8,99,36,34,0.21428571428571427,0.35714285714285715,0.38461538461538464,0.26666666666666666,0.35714285714285715,0.46153846153846156,0,0.1111111111111111,0.15151515151515152,0.1414141414141414,0.1414141414141414,0.1414141414141414,0.16161616161616163,0.0,57,2,6
llama2,seed_21,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,zero_shot,structured,fact_first,json,test_set_1,0.37373737373737376,0.6262626262626263,0.3434343434343434,0,6,99,37,34,0.07142857142857142,0.42857142857142855,0.3076923076923077,0.3333333333333333,0.5714285714285714,0.3076923076923077,0,0.12121212121212122,0.1717171717171717,0.13131313131313133,0.15151515151515152,0.1414141414141414,0.12121212121212122,0.0,59,3,3
llama2,seed_21,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,few_shot,unstructured,answer_first,json,test_set_1,0.2828282828282828,0.7171717171717171,0.25252525252525254,15,12,99,28,25,0.21428571428571427,0.14285714285714285,0.46153846153846156,0.13333333333333333,0.21428571428571427,0.3076923076923077,0,0.15151515151515152,0.1717171717171717,0.12121212121212122,0.12121212121212122,0.1111111111111111,0.12121212121212122,0.0,62,3,9
llama2,seed_21,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,few_shot,unstructured,answer_first,number_list,test_set_1,0.0,1.0,0.0,99,99,99,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,99
